"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","Quantity","QuantityToken","QtyUnit","ProductDescription","NetWeight in KGM","Reporter Region","Reporter Income Group","Partner Region","Partner Income Group"
"S3","AFG","034","Afghanistan","CHN","China",2017,"Import",5,86.709,0,1,"N.Q.","Fish,live/frsh/chld/froz",0,"South Asia","Low income","East Asia & Pacific","Upper middle income"
"S3","AFG","034","Afghanistan","CHN","China",2018,"Import",5,107.934,40991,8,"Kg","Fish,live/frsh/chld/froz",40991,"South Asia","Low income","East Asia & Pacific","Upper middle income"
"S3","AFG","034","Afghanistan","CHN","China",2019,"Import",5,10.604,3430,8,"Kg","Fish,live/frsh/chld/froz",3430,"South Asia","Low income","East Asia & Pacific","Upper middle income"
"S3","AFG","034","Afghanistan","NOR","Norway",2018,"Import",5,26.844,9640,8,"Kg","Fish,live/frsh/chld/froz",9640,"South Asia","Low income","Europe & Central Asia","High income"
"S3","AFG","034","Afghanistan","NOR","Norway",2019,"Import",5,51.883,19423,8,"Kg","Fish,live/frsh/chld/froz",19423,"South Asia","Low income","Europe & Central Asia","High income"
"S3","AFG","034","Afghanistan","PAK","Pakistan",2017,"Import",5,7413.935,0,1,"N.Q.","Fish,live/frsh/chld/froz",0,"South Asia","Low income","South Asia","Lower middle income"
"S3","AFG","034","Afghanistan","PAK","Pakistan",2018,"Import",5,6257.943,4117320,8,"Kg","Fish,live/frsh/chld/froz",4117320,"South Asia","Low income","South Asia","Lower middle income"
"S3","AFG","034","Afghanistan","PAK","Pakistan",2019,"Import",5,3788.437,2707150,8,"Kg","Fish,live/frsh/chld/froz",2707150,"South Asia","Low income","South Asia","Lower middle income"
"S3","AFG","034","Afghanistan","VNM","Vietnam",2017,"Import",5,600.862,0,1,"N.Q.","Fish,live/frsh/chld/froz",0,"South Asia","Low income","East Asia & Pacific","Lower middle income"
"S3","AFG","034","Afghanistan","VNM","Vietnam",2018,"Import",5,278.004,115495,8,"Kg","Fish,live/frsh/chld/froz",115495,"South Asia","Low income","East Asia & Pacific","Lower middle income"
"S3","AFG","034","Afghanistan","VNM","Vietnam",2019,"Import",5,1021.265,427739,8,"Kg","Fish,live/frsh/chld/froz",427739,"South Asia","Low income","East Asia & Pacific","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",1993,"Import",5,19.483,17421,8,"Kg","Fish,live/frsh/chld/froz",17421,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",1994,"Import",5,17.763,116601,8,"Kg","Fish,live/frsh/chld/froz",116601,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",1998,"Import",5,42.76,47772,8,"Kg","Fish,live/frsh/chld/froz",47772,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",1999,"Import",5,44.424,58125,8,"Kg","Fish,live/frsh/chld/froz",58125,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",2005,"Import",5,414.031,398039,8,"Kg","Fish,live/frsh/chld/froz",398039,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",2006,"Import",5,727.174,554061,8,"Kg","Fish,live/frsh/chld/froz",554061,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",2007,"Import",5,868.746,559334,8,"Kg","Fish,live/frsh/chld/froz",559334,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",2008,"Export",6,0.065,300,8,"Kg","Fish,live/frsh/chld/froz",300,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",2008,"Import",5,1039.703,633259,8,"Kg","Fish,live/frsh/chld/froz",633259,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",2009,"Import",5,1177.314,734847,8,"Kg","Fish,live/frsh/chld/froz",734847,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",2010,"Export",6,0.321,960,8,"Kg","Fish,live/frsh/chld/froz",960,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",2010,"Import",5,1506.537,830931,8,"Kg","Fish,live/frsh/chld/froz",830931,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",2011,"Import",5,1683.086,915738,8,"Kg","Fish,live/frsh/chld/froz",915738,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","IND","India",2012,"Import",5,2371.774,1339773,8,"Kg","Fish,live/frsh/chld/froz",1339773,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","034","Bhutan","JPN","Japan",2010,"Import",5,0.049,51,8,"Kg","Fish,live/frsh/chld/froz",51,"South Asia","Lower middle income","East Asia & Pacific","High income"
"S3","BTN","034","Bhutan","NPL","Nepal",2009,"Import",5,0.112,88,8,"Kg","Fish,live/frsh/chld/froz",88,"South Asia","Lower middle income","South Asia","Low income"
"S3","BTN","034","Bhutan","NPL","Nepal",2011,"Import",5,1.409,119,8,"Kg","Fish,live/frsh/chld/froz",119,"South Asia","Lower middle income","South Asia","Low income"
"S3","CHN","034","China","AFG","Afghanistan",2018,"Export",6,97.2,26000,8,"Kg","Fish,live/frsh/chld/froz",26000,"East Asia & Pacific","Upper middle income","South Asia","Low income"
"S3","CHN","034","China","AFG","Afghanistan",2019,"Export",6,7.86,3000,8,"Kg","Fish,live/frsh/chld/froz",3000,"East Asia & Pacific","Upper middle income","South Asia","Low income"
"S3","CHN","034","China","CHN","China",2000,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2001,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2002,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2003,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2004,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2005,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2006,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2007,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2008,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2009,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2010,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2011,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2012,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2013,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2014,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2015,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2016,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2017,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
"S3","CHN","034","China","CHN","China",2018,"Import",5,0,0,8,"Kg","Fish,live/frsh/chld/froz",0,"East Asia & Pacific","Upper middle income","East Asia & Pacific","Upper middle income"
