"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","Quantity","QuantityToken","QtyUnit","ProductDescription","NetWeight in KGM","Reporter Region","Reporter Income Group","Partner Region","Partner Income Group"
"S3","AFG","03","Afghanistan","CHN","China",2017,"Import",5,86.709,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","East Asia & Pacific","Upper middle income"
"S3","AFG","03","Afghanistan","CHN","China",2018,"Import",5,107.934,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","East Asia & Pacific","Upper middle income"
"S3","AFG","03","Afghanistan","CHN","China",2019,"Import",5,10.604,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","East Asia & Pacific","Upper middle income"
"S3","AFG","03","Afghanistan","NOR","Norway",2018,"Import",5,26.844,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","Europe & Central Asia","High income"
"S3","AFG","03","Afghanistan","NOR","Norway",2019,"Import",5,51.883,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","Europe & Central Asia","High income"
"S3","AFG","03","Afghanistan","PAK","Pakistan",2017,"Import",5,7413.935,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","South Asia","Lower middle income"
"S3","AFG","03","Afghanistan","PAK","Pakistan",2018,"Import",5,6257.943,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","South Asia","Lower middle income"
"S3","AFG","03","Afghanistan","PAK","Pakistan",2019,"Import",5,3788.437,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","South Asia","Lower middle income"
"S3","AFG","03","Afghanistan","VNM","Vietnam",2017,"Import",5,600.862,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","East Asia & Pacific","Lower middle income"
"S3","AFG","03","Afghanistan","VNM","Vietnam",2018,"Import",5,278.004,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","East Asia & Pacific","Lower middle income"
"S3","AFG","03","Afghanistan","VNM","Vietnam",2019,"Import",5,1021.265,0,1,"N.Q.","Fish/shellfish/etc.",0,"South Asia","Low income","East Asia & Pacific","Lower middle income"
"S3","BTN","03","Bhutan","CHN","China",2005,"Import",5,0.163,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","East Asia & Pacific","Upper middle income"
"S3","BTN","03","Bhutan","CHN","China",2006,"Import",5,0.108,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","East Asia & Pacific","Upper middle income"
"S3","BTN","03","Bhutan","CHN","China",2007,"Import",5,0.195,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","East Asia & Pacific","Upper middle income"
"S3","BTN","03","Bhutan","CHN","China",2008,"Import",5,0.159,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","East Asia & Pacific","Upper middle income"
"S3","BTN","03","Bhutan","CHN","China",2010,"Import",5,0.341,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","East Asia & Pacific","Upper middle income"
"S3","BTN","03","Bhutan","IND","India",1993,"Import",5,199.017,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","03","Bhutan","IND","India",1994,"Import",5,263.163,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","03","Bhutan","IND","India",1998,"Import",5,538.771,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","03","Bhutan","IND","India",1999,"Import",5,519.519,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","03","Bhutan","IND","India",2005,"Import",5,1343.687,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","03","Bhutan","IND","India",2006,"Import",5,1791.289,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","03","Bhutan","IND","India",2007,"Import",5,1925.821,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","03","Bhutan","IND","India",2008,"Export",6,0.065,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S3","BTN","03","Bhutan","IND","India",2008,"Import",5,2200.338,,1,"N.Q.","Fish/shellfish/etc.",,"South Asia","Lower middle income","South Asia","Lower middle income"
