"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","Quantity","QuantityToken","QtyUnit","ProductDescription","NetWeight in KGM","Reporter Region","Reporter Income Group","Partner Region","Partner Income Group"
"S4","AFG","03","Afghanistan","CHN","China",2018,"Import",5,107.934,0,1,"N.Q.","Fish (not marine mammals), crustace",0,"South Asia","Low income","East Asia & Pacific","Upper middle income"
"S4","AFG","03","Afghanistan","CHN","China",2019,"Import",5,10.604,0,1,"N.Q.","Fish (not marine mammals), crustace",0,"South Asia","Low income","East Asia & Pacific","Upper middle income"
"S4","AFG","03","Afghanistan","NOR","Norway",2018,"Import",5,26.844,0,1,"N.Q.","Fish (not marine mammals), crustace",0,"South Asia","Low income","Europe & Central Asia","High income"
"S4","AFG","03","Afghanistan","NOR","Norway",2019,"Import",5,51.883,0,1,"N.Q.","Fish (not marine mammals), crustace",0,"South Asia","Low income","Europe & Central Asia","High income"
"S4","AFG","03","Afghanistan","PAK","Pakistan",2018,"Import",5,6257.943,0,1,"N.Q.","Fish (not marine mammals), crustace",0,"South Asia","Low income","South Asia","Lower middle income"
"S4","AFG","03","Afghanistan","PAK","Pakistan",2019,"Import",5,3788.437,0,1,"N.Q.","Fish (not marine mammals), crustace",0,"South Asia","Low income","South Asia","Lower middle income"
"S4","AFG","03","Afghanistan","VNM","Vietnam",2018,"Import",5,278.004,0,1,"N.Q.","Fish (not marine mammals), crustace",0,"South Asia","Low income","East Asia & Pacific","Lower middle income"
"S4","AFG","03","Afghanistan","VNM","Vietnam",2019,"Import",5,1021.265,0,1,"N.Q.","Fish (not marine mammals), crustace",0,"South Asia","Low income","East Asia & Pacific","Lower middle income"
"S4","BTN","03","Bhutan","CHN","China",2007,"Import",5,0.195,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","East Asia & Pacific","Upper middle income"
"S4","BTN","03","Bhutan","CHN","China",2008,"Import",5,0.159,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","East Asia & Pacific","Upper middle income"
"S4","BTN","03","Bhutan","CHN","China",2010,"Import",5,0.341,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","East Asia & Pacific","Upper middle income"
"S4","BTN","03","Bhutan","IND","India",2007,"Import",5,1925.821,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S4","BTN","03","Bhutan","IND","India",2008,"Export",6,0.065,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S4","BTN","03","Bhutan","IND","India",2008,"Import",5,2200.338,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S4","BTN","03","Bhutan","IND","India",2009,"Import",5,2410.052,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S4","BTN","03","Bhutan","IND","India",2010,"Export",6,0.321,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S4","BTN","03","Bhutan","IND","India",2010,"Import",5,3042.833,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S4","BTN","03","Bhutan","IND","India",2011,"Import",5,3470.254,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S4","BTN","03","Bhutan","IND","India",2012,"Import",5,4507.297,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","South Asia","Lower middle income"
"S4","BTN","03","Bhutan","JPN","Japan",2007,"Import",5,721.954,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","East Asia & Pacific","High income"
"S4","BTN","03","Bhutan","JPN","Japan",2010,"Import",5,0.728,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","East Asia & Pacific","High income"
"S4","BTN","03","Bhutan","NPL","Nepal",2009,"Import",5,0.112,,1,"N.Q.","Fish (not marine mammals), crustace",,"South Asia","Lower middle income","South Asia","Low income"
