HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2020-01-01T00:00:00+00:00,2020-01-01T01:00:00,DE,288.35,38.6
2020-01-01T00:00:00+00:00,2020-01-01T01:00:00,DK1,237.33,31.77
2020-01-01T00:00:00+00:00,2020-01-01T01:00:00,DK2,237.33,31.77
2020-01-01T00:00:00+00:00,2020-01-01T01:00:00,NO2,237.33,31.77
2020-01-01T00:00:00+00:00,2020-01-01T01:00:00,SE3,212.52,28.45
2020-01-01T00:00:00+00:00,2020-01-01T01:00:00,SE4,212.52,28.45
2020-01-01T00:00:00+00:00,2020-01-01T01:00:00,SYSTEM,228.81,30.63
2020-01-01T01:00:00+00:00,2020-01-01T02:00:00,DE,273.03,36.55
2020-01-01T01:00:00+00:00,2020-01-01T02:00:00,DK1,235.83,31.57
2020-01-01T01:00:00+00:00,2020-01-01T02:00:00,DK2,235.83,31.57
2020-01-01T01:00:00+00:00,2020-01-01T02:00:00,NO2,235.83,31.57
2020-01-01T01:00:00+00:00,2020-01-01T02:00:00,SE3,208.42,27.9
2020-01-01T01:00:00+00:00,2020-01-01T02:00:00,SE4,208.42,27.9
2020-01-01T01:00:00+00:00,2020-01-01T02:00:00,SYSTEM,226.94,30.38
2020-01-01T02:00:00+00:00,2020-01-01T03:00:00,DE,241.43,32.32
2020-01-01T02:00:00+00:00,2020-01-01T03:00:00,DK1,233.66,31.28
2020-01-01T02:00:00+00:00,2020-01-01T03:00:00,DK2,233.66,31.28
2020-01-01T02:00:00+00:00,2020-01-01T03:00:00,NO2,233.66,31.28
2020-01-01T02:00:00+00:00,2020-01-01T03:00:00,SE3,205.58,27.52
2020-01-01T02:00:00+00:00,2020-01-01T03:00:00,SE4,205.58,27.52
2020-01-01T02:00:00+00:00,2020-01-01T03:00:00,SYSTEM,224.4,30.04
2020-01-01T03:00:00+00:00,2020-01-01T04:00:00,DE,230.45,30.85
2020-01-01T03:00:00+00:00,2020-01-01T04:00:00,DK1,230.45,30.85
