HourUTC,HourDK,PriceArea,CentralPowerMWh,LocalPowerMWh,CommercialPowerMWh,LocalPowerSelfConMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindLt50kW_MWh,OnshoreWindGe50kW_MWh,HydroPowerMWh,SolarPowerLt10kW_MWh,SolarPowerGe10Lt40kW_MWh,SolarPowerGe40kW_MWh,SolarPowerSelfConMWh,ExchangeNO_MWh,ExchangeSE_MWh,ExchangeGE_MWh,ExchangeNL_MWh,ExchangeGreatBelt_MWh,GrossConsumptionMWh,GridLossTransmissionMWh,GridLossInterconnectorsMWh,GridLossDistributionMWh,PowerToHeatMWh
2019-01-01T00:00:00,2019-01-01T01:00:00,DK1,253.2,168.699693,,0,80.62697,629.36345,14.155143,2398.244209,1.911377,0,0,0,0,-1614.9,-222.3,1050.5,0,-576.7,2182.800842,115,,,306.5
2019-01-01T00:00:00,2019-01-01T01:00:00,DK2,337.8,108.438107,,0,34.9578,329.8421,1.30658,624.482906,0.006855,0,0,0,0,0,-165.2,-486.9,0,576.7,1361.434348,44,,,5.5
2019-01-01T01:00:00,2019-01-01T02:00:00,DK1,159,168.565316,,0,52.517325,242.2533,14.073754,2312.370486,1.907814,0,0,0,0,-1566,-210.3,1515.5,0,-525.6,2164.287995,126,,,341.1
2019-01-01T01:00:00,2019-01-01T02:00:00,DK2,320.7,109.622985,,0,37.2762,261.119087,1.382462,590.179033,0.006855,0,0,0,0,0,-450.2,-61.9,0,525.6,1333.786622,58,,,13.8
2019-01-01T02:00:00,2019-01-01T03:00:00,DK1,156.9,169.446739,,0,53.205677,233.3768,14.136412,2289.823067,1.859388,0,0,0,0,-1613.2,-210.5,1325.8,0,-310.9,2109.948083,120,,,360.2
2019-01-01T02:00:00,2019-01-01T03:00:00,DK2,327.5,106.734912,,0,31.0052,209.399703,1.391854,594.641794,0.006855,0,0,0,0,0,-413.7,116.6,0,310.9,1284.480318,43,,,16.2
2019-01-01T03:00:00,2019-01-01T04:00:00,DK1,159.4,151.189716,,0,46.036746,233.45155,14.224898,2226.207226,1.858886,0,0,0,0,-1617.1,-229.2,1380.2,0,-282.6,2083.669022,117,,,357.4
2019-01-01T03:00:00,2019-01-01T04:00:00,DK2,322.1,102.693371,,0,28.9385,203.880273,1.437444,584.301343,0.006855,0,0,0,0,0,-417.3,163.3,0,282.6,1271.957786,41,,,28.9
2019-01-01T04:00:00,2019-01-01T05:00:00,DK1,158.7,146.853093,,0,43.252941,233.54135,14.044686,2156.971307,1.85753,0,0,0,0,-1499.6,-256.3,1498.9,0,-392.5,2105.720907,118,,,368.3
2019-01-01T04:00:00,2019-01-01T05:00:00,DK2,321.8,104.29105,,0,30.732,203.889393,1.484387,583.21704,0.006855,0,0,0,0,0,-598.6,239,0,392.5,1278.320725,42,,,30.5
